,,,,,,,,,,,            Production            ,,,,,,,             Inventory             ,,,,,,,                                              Cards                                              ,,,,,,                        Tiles on Mars                        ,,,,,,   Terraforming    ,,,,,                                                           Other effects                                                           ,,,,,,,,
PC3,Robinson Industries,7,2 Action,F,53,5 Prelude,,no prod lower than H,,←,,,,,,1,,-4,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Requires that heat is your lowest production: Spend 4 M€ to increase your heat production 1 step.,#REF!
PC4,Valley Trust,3,3 Action/First,,54,5 Prelude,,,,,,,,,,,,,,,,,,,1,of 3 Preludes,,,,,,,,,,0,,,,,0,,,,,,play that card now,,"As your first action, draw 1 of 3 Prelude cards and play it.",#REF!
PC4,Valley Trust,3,0 Immediate,,54,5 Prelude,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 37 M€.,#REF!
PC4,Valley Trust,3,5 Effect/Discount,,55,5 Prelude,science tag,,,←,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Playing a card costs 2 M€ less per science tag it has.,#REF!
PC5,Vitor,3,0 Immediate,,56,5 Prelude,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 45 M€.,#REF!
PC5,Vitor,3,3 Action/First,,56,5 Prelude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,fund an award,,"As your first action, fund an award for free.",#REF!
PC5,Vitor,3,4 Effect/Trigger,,57,5 Prelude,play card,non-negative VP icon,,←,,,,,,,,3,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When you play a card with a NON-NEGATIVE VP icon, gain 3 M€.",#REF!
CC1,Aridor,3,0 Immediate,,58,6 Colonies,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 40 M€.,#REF!
CC1,Aridor,3,3 Action/First,,58,6 Colonies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,add colony tile of your choice,,"As your first action, add an additional Colony Tile of your choice to the game.",#REF!
CC1,Aridor,3,4 Effect/Trigger,,59,6 Colonies,new tag type in play,event cards don't count,,←,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When you get a new type of tag in play (event cards do not count), increase your M€ production 1 step.",#REF!
CC2,Arklight,2,0 Immediate,,60,6 Colonies,,,,,2,,,,,,,45,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 45 M€ and increase your M€ production 2 steps.,#REF!
CC2,Arklight,2,4 Effect/Trigger,,61,6 Colonies,plant/animal tag,,,←,,,,,,,,,,,,,,,,,1,animal,here,,,,,,,0,,,,,0,,,,,,,,"When you play an animal or plant tag, add 1 animal to this card.",#REF!
CC3,Polyphemos,2,0 Immediate,,62,6 Colonies,,,,,5,,,,,,,50,,5,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 50 M€ and 5 titanium. Increase your M€ production 5 steps.,#REF!
CC3,Polyphemos,2,5 Effect/Discount,,63,6 Colonies,buy card,,,←,,,,,,,,-2,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Buying cards to hand costs 2 M€ more at all times.,#REF!
CC4,Poseidon,3,0 Immediate,,64,6 Colonies,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 45 M€.,#REF!
CC4,Poseidon,3,3 Action/First,,64,6 Colonies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,1,,,,,,"As your first action, place a colony.",#REF!
CC4,Poseidon,3,4 Effect/Trigger,,65,6 Colonies,ANY colony,,,←,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When ANY colony is placed, increase your M€ production 1 step.",#REF!
CC5,Stormcraft Incorporated,3,0 Immediate,,66,6 Colonies,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 48 M€.,#REF!
CC5,Stormcraft Incorporated,3,2 Action,,67,6 Colonies,,,,,,,,,,,,,,,,,,,,,1,floater,any,,,,,,,0,,,,,0,,,,,,,,Add 1 floater to ANY card.,#REF!
CC5,Stormcraft Incorporated,3,6 Effect/Resource,,68,6 Colonies,while active,,any number,←,,,,,,,,,,,,,2N,,,,-N,floater,here,,,,,,,,,,,,,,,,,,,,Floaters on this card may be used as 2 heat each.,#REF!
TC1,Lakefront Resorts,3,0 Immediate,,69,7 Turmoil,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 54 M€.,#REF!
TC1,Lakefront Resorts,3,4 Effect/Trigger,,70,7 Turmoil,tile,,oceans adjacent to placed tile,←,,,,,,,,N,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When you place a tile, gain 1 additional M€ per adjacent ocean tile.",#REF!
TC1,Lakefront Resorts,3,4 Effect/Trigger,,71,7 Turmoil,ANY ocean tile,,,←,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When ANY ocean is placed, increase your M€ production 1 step.",#REF!
TC2,Pristar,2,0 Immediate,,72,7 Turmoil,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,0,,,,-2,-2,,,,,,,,Gain 53 M€ and decrease your TR 2 steps.,#REF!
TC2,Pristar,2,4 Effect/Trigger,,73,7 Turmoil,production phase,TR not raised this gen,,←,,,,,,,,6,,,,,,,,,1,preservation,here,,,,,,,0,,,,,0,,,,,,,,"During the production phase, if you did not get TR so far this generation, add 1 preservation resource here and gain 6 M€.",#REF!
TC3,Septem Tribus,2,0 Immediate,,74,7 Turmoil,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"Gain 36 M€. When you perform an action, the wild tag counts as any tag of your choice.",#REF!
TC3,Septem Tribus,2,2 Action,,75,7 Turmoil,,,delegates (counting only 1 per party),←,,,,,,,,2N,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 2 M€ for each party where you have at least 1 delegate.,#REF!
TC4,TerraLabs Research,2,0 Immediate,,76,7 Turmoil,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,0,,,,-1,-1,,,,,,,,Gain 14 M€ and decrease your TR 1 step.,#REF!
TC4,TerraLabs Research,2,5 Effect/Discount,,77,7 Turmoil,buy card,,,←,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Buying cards to hand costs 2 M€ less at all times.,#REF!
TC5,Utopia Invest,7,0 Immediate,,78,7 Turmoil,,,,,,1,1,,,,,40,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 40 M€. Increase your steel and titanium production 1 step each.,#REF!
TC5,Utopia Invest,7,2 Action,A,79,7 Turmoil,,,,,-1,,,,,,,4,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your M€ production 1 step to gain 4 M€.,#REF!
TC5,Utopia Invest,7,2 Action,B,80,7 Turmoil,,,,,,-1,,,,,,,4,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your steel production 1 step to gain 4 steel.,#REF!
TC5,Utopia Invest,7,2 Action,C,81,7 Turmoil,,,,,,,-1,,,,,,,4,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your titanium production 1 step to gain 4 titanium.,#REF!
TC5,Utopia Invest,7,2 Action,D,82,7 Turmoil,,,,,,,,-1,,,,,,,4,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your plant production 1 step to gain 4 plant.,#REF!
TC5,Utopia Invest,7,2 Action,E,83,7 Turmoil,,,,,,,,,-1,,,,,,,4,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your energy production 1 step to gain 4 energy.,#REF!
TC5,Utopia Invest,7,2 Action,F,84,7 Turmoil,,,,,,,,,,-1,,,,,,,4,,,,,,,,,,,,,0,,,,,0,,,,,,,,Decrease your heat production 1 step to gain 4 heat.,#REF!
XC1,Arcadian Communities,4,0 Immediate,,85,X2 Pro/bggcorps,,,,,,,,,,,,40,10,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 40 m€ and 10 steel.,#REF!
XC1,Arcadian Communities,4,3 Action/First,,85,X2 Pro/bggcorps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,1,,,"As your first action, place a community on an unreserved area.",#REF!
XC1,Arcadian Communities,4,2 Action,,86,X2 Pro/bggcorps,,area touching your tile/community,,←,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,1,,,Place a community on an unreserved area adjacent a tile or community you own.,#REF!
XC1,Arcadian Communities,4,4 Effect/Trigger,,87,X2 Pro/bggcorps,tile,area with your community on it,,←,,,,,,,,3,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When you place a tile where your community is, gain 3 M€.",#REF!
XC2,Recyclon,3,0 Immediate,,88,X2 Pro/bggcorps,,,,,,1,,,,,,38,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 38 M€. Increase your steel production 1 step.,#REF!
XC2,Recyclon,3,4 Effect/Trigger,A,89,X2 Pro/bggcorps,building tag,,,←,,,,,,,,,,,,,,,,,1,microbe,here,,,,,,,0,,,,,0,,,,,,,,"When you play a building tag, gain 1 microbe to this card.",#REF!
XC2,Recyclon,3,4 Effect/Trigger,B,90,X2 Pro/bggcorps,building tag,,,←,,,,1,,,,,,,,,,,,,-2,microbe,here,,,,,,,0,,,,,0,,,,,,,,"When you play a building tag, remove 2 microbes here and increase your plant production 1 step.",#REF!
XC3,Splice Tactical Genomics,3,3 Action/First,,91,X2 Pro/bggcorps,,,,,,,,,,,,,,,,,,,1,has microbe tag,,,,,,,,,,0,,,,,0,,,,,,,,"As your first action, draw a microbe card.",#REF!
XC3,Splice Tactical Genomics,3,0 Immediate,,91,X2 Pro/bggcorps,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,"ALL players gain ""(Splice global effect)"" (listed here as XC3A)",,Gain 44 M€.,#REF!
XC3,Splice Tactical Genomics,3,4 Effect/Trigger,,92,X2 Pro/bggcorps,ANY microbe tag,,,←,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When ANY microbe tag is played, gain 2 M€.",#REF!
XC3A,(Splice global effect),2,4 Effect/Trigger,A,93,X2 Pro/bggcorps,microbe tag,,,←,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,"When you play a microbe tag, gain 2 M€.",#REF!
XC3A,(Splice global effect),2,4 Effect/Trigger,B,94,X2 Pro/bggcorps,microbe tag,,,←,,,,,,,,,,,,,,,,,1,microbe,played,,,,,,,0,,,,,0,,,,,,,,"When you play a microbe tag, add a microbe to that card.",#REF!
XC4,Factorum,3,0 Immediate,,95,X3 Pro/turmoil,,,,,,1,,,,,,37,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 37 M€. Increase your steel production 1 step.,#REF!
XC4,Factorum,3,2 Action,A,96,X3 Pro/turmoil,,max 0 energy,,←,,,,,1,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Requires that you have no energy resources: Increase your energy production 1 step.,#REF!
XC4,Factorum,3,2 Action,B,97,X3 Pro/turmoil,,,,,,,,,,,,-3,,,,,,,1,has building tag,,,,,,,,,,0,,,,,0,,,,,,,,Spend 3 M€ to draw a building card.,#REF!
XC5,Mons Insurance,3,0 Immediate,,98,X3 Pro/turmoil,,,,,4,,,,,,,48,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 48 M€. Increase your M€ production 4 steps.,#REF!
XC5,Mons Insurance,3,1 Immediate/Attack,,99,X3 Pro/turmoil,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,ALL opponents!,,ALL OPPONENTS DECREASE THEIR OWN M€ PRODUCTION 2 STEPS.,#REF!
XC5,Mons Insurance,3,4 Effect/Trigger,,100,X3 Pro/turmoil,ANY resource or production attack,except by this card itself,,←,,,,,,,,-3,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,"pay only what you can, to victim",,"When a player decreases another player's production or removes their resources, pay 3 M€ to the victim, or as much as possible.",#REF!
XC6,Philares,8,0 Immediate,,101,X3 Pro/turmoil,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Gain 47 M€.,#REF!
XC6,Philares,8,3 Action/First,,101,X3 Pro/turmoil,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,"As your first action, place a greenery tile and raise oxygen 1 step.",#REF!
XC6,Philares,8,4 Effect/Trigger,A,102,X3 Pro/turmoil,ANY adjacency owner-opponent,,,←,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Each new adjacency between your tile and an opponent's tile gives you a standard resource of your choice (regardless of who just placed a tile).,#REF!
XC6,Philares,8,4 Effect/Trigger,B,103,X3 Pro/turmoil,ANY adjacency owner-opponent,,,←,,,,,,,,,1,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Each new adjacency between your tile and an opponent's tile gives you a standard resource of your choice (regardless of who just placed a tile).,#REF!
XC6,Philares,8,4 Effect/Trigger,C,104,X3 Pro/turmoil,ANY adjacency owner-opponent,,,←,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Each new adjacency between your tile and an opponent's tile gives you a standard resource of your choice (regardless of who just placed a tile).,#REF!
XC6,Philares,8,4 Effect/Trigger,D,105,X3 Pro/turmoil,ANY adjacency owner-opponent,,,←,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Each new adjacency between your tile and an opponent's tile gives you a standard resource of your choice (regardless of who just placed a tile).,#REF!
XC6,Philares,8,4 Effect/Trigger,E,106,X3 Pro/turmoil,ANY adjacency owner-opponent,,,←,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,0,,,,,,,,Each new adjacency between your tile and an opponent's tile gives you a standard resource of your choice (regardless of who just placed a tile).,#REF!
XC6,Philares,8,4 Effect/Trigger,F,107,X3 Pro/turmoil,ANY adjacency owner-opponent,,,←,,,,,,,,,,,,,1,,,,,,,,,,,,,0,,,,,0,,,,,,,,Each new adjacency between your tile and an opponent's tile gives you a standard resource of your choice (regardless of who just placed a tile).,#REF!
XC7,AstroDrill,9,0 Immediate,,108,X4 Pro/bigbox,,,,,,,,,,,,35,,,,,,,,,3,asteroid,here,,,,,,,0,,,,,0,,,,,,,,"Gain 35 M€, and 3 asteroid resources here.",#REF!
